'釜山行2：半岛', ' 动作  惊悚 ', '2020-07-15韩国上映'
'最美逆行', ' 剧情 ', '2020-06-28中国大陆上映'
'妙先生', ' 动画  奇幻  冒险 ', '2020-07-31中国大陆上映'
'抵达之谜', ' 剧情  爱情  青春 ', '2020-07-31中国大陆上映'
'唐人街探案2', ' 喜剧  动作  悬疑 ', '2018-02-16中国大陆上映'
'天气之子', ' 爱情  动画  奇幻 ', '2019-11-01中国大陆上映'
'大话西游之大圣娶亲', ' 喜剧  爱情  奇幻  古装 ', '2020-07-24中国大陆重映'
'多力特的奇幻冒险', ' 剧情  奇幻  冒险 ', '2020-07-24中国大陆上映'
'误杀', ' 剧情  犯罪 ', '2020-07-20中国大陆重映'
'活着', ' 动作  惊悚  灾难 ', '2020-06-24韩国上映'
